,Date,variable,value
431,2021-06-02,Age-0to17,5
432,2021-06-03,Age-0to17,5
433,2021-06-04,Age-0to17,5
434,2021-06-05,Age-0to17,5
435,2021-06-06,Age-0to17,5
436,2021-06-07,Age-0to17,5
437,2021-06-08,Age-0to17,5
438,2021-06-09,Age-0to17,5
439,2021-06-10,Age-0to17,5
440,2021-06-11,Age-0to17,5
441,2021-06-12,Age-0to17,5
442,2020-03-28,Age-18to64,12
443,2020-03-29,Age-18to64,13
444,2020-03-30,Age-18to64,17
445,2020-03-31,Age-18to64,19
446,2020-04-01,Age-18to64,20
447,2020-04-02,Age-18to64,24
448,2020-04-03,Age-18to64,35
449,2020-04-04,Age-18to64,38
450,2020-04-05,Age-18to64,41
451,2020-04-06,Age-18to64,47
452,2020-04-07,Age-18to64,56
453,2020-04-08,Age-18to64,62
454,2020-04-09,Age-18to64,70
455,2020-04-10,Age-18to64,72
456,2020-04-11,Age-18to64,78
457,2020-04-12,Age-18to64,90
458,2020-04-13,Age-18to64,99
459,2020-04-14,Age-18to64,111
460,2020-04-15,Age-18to64,120
461,2020-04-16,Age-18to64,130
462,2020-04-17,Age-18to64,149
463,2020-04-18,Age-18to64,156
464,2020-04-19,Age-18to64,159
465,2020-04-20,Age-18to64,165
466,2020-04-21,Age-18to64,180
467,2020-04-22,Age-18to64,194
468,2020-04-23,Age-18to64,202
469,2020-04-24,Age-18to64,211
470,2020-04-25,Age-18to64,216
471,2020-04-26,Age-18to64,219
472,2020-04-27,Age-18to64,236
473,2020-04-28,Age-18to64,247
474,2020-04-29,Age-18to64,258
475,2020-04-30,Age-18to64,277
476,2020-05-01,Age-18to64,277
477,2020-05-02,Age-18to64,280
478,2020-05-03,Age-18to64,284
479,2020-05-04,Age-18to64,295
480,2020-05-05,Age-18to64,308
481,2020-05-06,Age-18to64,315
482,2020-05-07,Age-18to64,325
483,2020-05-08,Age-18to64,333
484,2020-05-09,Age-18to64,336
485,2020-05-10,Age-18to64,341
486,2020-05-11,Age-18to64,349
487,2020-05-12,Age-18to64,359
488,2020-05-13,Age-18to64,371
489,2020-05-14,Age-18to64,376
490,2020-05-15,Age-18to64,385
491,2020-05-16,Age-18to64,390
492,2020-05-17,Age-18to64,394
493,2020-05-18,Age-18to64,415
494,2020-05-19,Age-18to64,429
495,2020-05-20,Age-18to64,440
496,2020-05-21,Age-18to64,445
497,2020-05-22,Age-18to64,453
498,2020-05-23,Age-18to64,455
499,2020-05-24,Age-18to64,458
500,2020-05-25,Age-18to64,465
501,2020-05-26,Age-18to64,482
502,2020-05-27,Age-18to64,493
503,2020-05-28,Age-18to64,509
504,2020-05-29,Age-18to64,517
505,2020-05-30,Age-18to64,526
506,2020-05-31,Age-18to64,532
507,2020-06-01,Age-18to64,550
508,2020-06-02,Age-18to64,555
509,2020-06-03,Age-18to64,572
510,2020-06-04,Age-18to64,582
511,2020-06-05,Age-18to64,600
512,2020-06-06,Age-18to64,606
513,2020-06-07,Age-18to64,607
514,2020-06-08,Age-18to64,624
515,2020-06-09,Age-18to64,654
516,2020-06-10,Age-18to64,668
517,2020-06-11,Age-18to64,669
518,2020-06-12,Age-18to64,689
519,2020-06-13,Age-18to64,694
520,2020-06-14,Age-18to64,699
521,2020-06-15,Age-18to64,708
522,2020-06-16,Age-18to64,716
523,2020-06-17,Age-18to64,724
524,2020-06-18,Age-18to64,731
