Date,variable,Cumulative Confirmed Case Count,Newly Confirmed Case Count
12/21/20,Age-18to64,495742,8582
12/22/20,Age-18to64,507536,11794
12/23/20,Age-18to64,518991,11455
12/24/20,Age-18to64,518991,0
12/25/20,Age-18to64,540131,21140
12/26/20,Age-18to64,550391,10260
12/27/20,Age-18to64,560409,10018
12/28/20,Age-18to64,569095,8686
12/29/20,Age-18to64,576329,7234
12/30/20,Age-18to64,586672,10343
12/31/20,Age-18to64,601148,14476
1/1/21,Age-18to64,612887,11739
1/2/21,Age-18to64,624411,11524
1/3/21,Age-18to64,631001,6590
1/4/21,Age-18to64,639288,8287
1/5/21,Age-18to64,647399,8111
1/6/21,Age-18to64,660867,13468
1/7/21,Age-18to64,676831,15964
1/8/21,Age-18to64,689112,12281
1/9/21,Age-18to64,698952,9840
1/10/21,Age-18to64,708226,9274
1/11/21,Age-18to64,716681,8455
1/12/21,Age-18to64,725183,8502
1/13/21,Age-18to64,740380,15197
1/14/21,Age-18to64,750603,10223
1/15/21,Age-18to64,760433,9830
1/16/21,Age-18to64,769079,8646
1/17/21,Age-18to64,776012,6933
